Final P(correct) Mean,Final P(zero) Mean,TrainingReturns Std,PolicyOutput_1 Mean,Rewards Std,Ys Max,Final P(correct) Min,Ys Std,TargetPolicyOutput_0 Max,Ys Min,Final P(zero) Max,QfOutput Min,TargetQfOutput Std,TargetQfOutput Min,PolicyOutput_0 Mean,DiscountedReturns Mean,TargetQfOutput Mean,Ys Mean,Rewards Min,TargetPolicyOutput_1 Mean,QfOutput Std,Rewards Mean,TargetPolicyOutput_0 Mean,PolicyOutput_1 Max,PolicyOutput_1 Std,TrainingReturns Mean,TargetPolicyOutput_1 Std,QfOutput Mean,Returns Std,PolicyOutput_0 Std,TargetPolicyOutput_0 Min,QfOutput Max,QfLoss,Rewards Max,AverageReturn,DiscountedReturns Std,PolicyOutput_0 Min,Final P(zero) Min,DiscountedReturns Min,TargetPolicyOutput_1 Min,Returns Mean,TargetQfOutput Max,Returns Min,Final P(correct) Max,TrainingReturns Max,Epoch,Returns Max,TrainingReturns Min,PolicyOutput_1 Min,TargetPolicyOutput_0 Std,PolicySurrogateLoss,TargetPolicyOutput_1 Max,Final P(correct) Std,PolicyOutput_0 Max,Final P(zero) Std,DiscountedReturns Max
0.131433,-0.129,0.0,0.394186,0.0,-0.0146289,0.131433,0.0,0.0,-0.0146289,-0.129,-0.0146289,7.45058e-09,-0.0693774,0.00121632,-0.0146288871765,-0.0693774,-0.0146289,-0.0146288871765,0.0,0.0,-0.0146288871765,0.0,0.917978,0.523792,-0.0146288871765,0.0,-0.0146289,0.0,0.130217,0.0,-0.0146289,2.50668e-16,-0.0146288871765,-0.0146288871765,0.0,-0.129,-0.129,-0.0146288871765,0.0,-0.0146288871765,-0.0693774,-0.0146288871765,0.131433,-0.0146288871765,20,-0.0146288871765,-0.0146288871765,-0.129606,0.0,0.0146289,0.0,1.49012e-08,0.131433,2.98023e-08,-0.0146288871765
0.131433,-0.129,0.0,0.394186,0.0,-0.0146289,0.131433,0.0,0.0,-0.0146289,-0.129,-0.0146289,0.0,-0.0693733,0.00121632,-0.0146288871765,-0.0693733,-0.0146289,-0.0146288871765,0.0,0.0,-0.0146288871765,0.0,0.917978,0.523792,-0.0146288871765,0.0,-0.0146289,0.0,0.130217,0.0,-0.0146289,2.50668e-16,-0.0146288871765,-0.0146288871765,0.0,-0.129,-0.129,-0.0146288871765,0.0,-0.0146288871765,-0.0693733,-0.0146288871765,0.131433,-0.0146288871765,21,-0.0146288871765,-0.0146288871765,-0.129606,0.0,0.0146289,0.0,1.49012e-08,0.131433,2.98023e-08,-0.0146288871765
0.131433,-0.129,0.0,0.394186,0.0,-0.0146289,0.131433,0.0,0.0,-0.0146289,-0.129,-0.0146289,0.0,-0.0693717,0.00121632,-0.0146288871765,-0.0693717,-0.0146289,-0.0146288871765,0.0,0.0,-0.0146288871765,0.0,0.917978,0.523792,-0.0146288871765,0.0,-0.0146289,0.0,0.130217,0.0,-0.0146289,2.50668e-16,-0.0146288871765,-0.0146288871765,0.0,-0.129,-0.129,-0.0146288871765,0.0,-0.0146288871765,-0.0693717,-0.0146288871765,0.131433,-0.0146288871765,22,-0.0146288871765,-0.0146288871765,-0.129606,0.0,0.0146289,0.0,1.49012e-08,0.131433,2.98023e-08,-0.0146288871765
0.131433,-0.129,0.0,0.394186,0.0,-0.0146289,0.131433,0.0,0.0,-0.0146289,-0.129,-0.0146289,0.0,-0.0693711,0.00121632,-0.0146288871765,-0.0693711,-0.0146289,-0.0146288871765,0.0,0.0,-0.0146288871765,0.0,0.917978,0.523792,-0.0146288871765,0.0,-0.0146289,0.0,0.130217,0.0,-0.0146289,2.50668e-16,-0.0146288871765,-0.0146288871765,0.0,-0.129,-0.129,-0.0146288871765,0.0,-0.0146288871765,-0.0693711,-0.0146288871765,0.131433,-0.0146288871765,23,-0.0146288871765,-0.0146288871765,-0.129606,0.0,0.0146289,0.0,1.49012e-08,0.131433,2.98023e-08,-0.0146288871765
0.131433,-0.129,0.0,0.394186,0.0,-0.0146289,0.131433,0.0,0.0,-0.0146289,-0.129,-0.0146289,1.49012e-08,-0.0693709,0.00121632,-0.0146288871765,-0.0693709,-0.0146289,-0.0146288871765,0.0,0.0,-0.0146288871765,0.0,0.917978,0.523792,-0.0146288871765,0.0,-0.0146289,0.0,0.130217,0.0,-0.0146289,2.50668e-16,-0.0146288871765,-0.0146288871765,0.0,-0.129,-0.129,-0.0146288871765,0.0,-0.0146288871765,-0.0693709,-0.0146288871765,0.131433,-0.0146288871765,24,-0.0146288871765,-0.0146288871765,-0.129606,0.0,0.0146289,0.0,1.49012e-08,0.131433,2.98023e-08,-0.0146288871765
0.131433,-0.129,0.0,0.394186,0.0,-0.0146289,0.131433,0.0,0.0,-0.0146289,-0.129,-0.0146289,0.0,-0.0693708,0.00121632,-0.0146288871765,-0.0693708,-0.0146289,-0.0146288871765,0.0,0.0,-0.0146288871765,0.0,0.917978,0.523792,-0.0146288871765,0.0,-0.0146289,0.0,0.130217,0.0,-0.0146289,2.50668e-16,-0.0146288871765,-0.0146288871765,0.0,-0.129,-0.129,-0.0146288871765,0.0,-0.0146288871765,-0.0693708,-0.0146288871765,0.131433,-0.0146288871765,25,-0.0146288871765,-0.0146288871765,-0.129606,0.0,0.0146289,0.0,1.49012e-08,0.131433,2.98023e-08,-0.0146288871765
0.131433,-0.129,0.0,0.394186,0.0,-0.0146289,0.131433,0.0,0.0,-0.0146289,-0.129,-0.0146289,0.0,-0.0693708,0.00121632,-0.0146288871765,-0.0693708,-0.0146289,-0.0146288871765,0.0,0.0,-0.0146288871765,0.0,0.917978,0.523792,-0.0146288871765,0.0,-0.0146289,0.0,0.130217,0.0,-0.0146289,2.50668e-16,-0.0146288871765,-0.0146288871765,0.0,-0.129,-0.129,-0.0146288871765,0.0,-0.0146288871765,-0.0693708,-0.0146288871765,0.131433,-0.0146288871765,26,-0.0146288871765,-0.0146288871765,-0.129606,0.0,0.0146289,0.0,1.49012e-08,0.131433,2.98023e-08,-0.0146288871765
0.131433,-0.129,0.0,0.394186,0.0,-0.0146289,0.131433,0.0,0.0,-0.0146289,-0.129,-0.0146289,0.0,-0.0693708,0.00121632,-0.0146288871765,-0.0693708,-0.0146289,-0.0146288871765,0.0,0.0,-0.0146288871765,0.0,0.917978,0.523792,-0.0146288871765,0.0,-0.0146289,0.0,0.130217,0.0,-0.0146289,2.50668e-16,-0.0146288871765,-0.0146288871765,0.0,-0.129,-0.129,-0.0146288871765,0.0,-0.0146288871765,-0.0693708,-0.0146288871765,0.131433,-0.0146288871765,27,-0.0146288871765,-0.0146288871765,-0.129606,0.0,0.0146289,0.0,1.49012e-08,0.131433,2.98023e-08,-0.0146288871765
0.131433,-0.129,0.0,0.394186,0.0,-0.0146289,0.131433,0.0,0.0,-0.0146289,-0.129,-0.0146289,0.0,-0.0693708,0.00121632,-0.0146288871765,-0.0693708,-0.0146289,-0.0146288871765,0.0,9.31323e-10,-0.0146288871765,0.0,0.917978,0.523792,-0.0146288871765,0.0,-0.0146289,0.0,0.130217,0.0,-0.0146289,2.22045e-16,-0.0146288871765,-0.0146288871765,0.0,-0.129,-0.129,-0.0146288871765,0.0,-0.0146288871765,-0.0693708,-0.0146288871765,0.131433,-0.0146288871765,28,-0.0146288871765,-0.0146288871765,-0.129606,0.0,0.0146289,0.0,1.49012e-08,0.131433,2.98023e-08,-0.0146288871765
0.131433,-0.129,0.0,0.394186,0.0,-0.0146289,0.131433,0.0,0.0,-0.0146289,-0.129,-0.0146289,0.0,-0.0693708,0.00121632,-0.0146288871765,-0.0693708,-0.0146289,-0.0146288871765,0.0,9.31323e-10,-0.0146288871765,0.0,0.917978,0.523792,-0.0146288871765,0.0,-0.0146289,0.0,0.130217,0.0,-0.0146289,1.95156e-16,-0.0146288871765,-0.0146288871765,0.0,-0.129,-0.129,-0.0146288871765,0.0,-0.0146288871765,-0.0693708,-0.0146288871765,0.131433,-0.0146288871765,29,-0.0146288871765,-0.0146288871765,-0.129606,0.0,0.0146289,0.0,1.49012e-08,0.131433,2.98023e-08,-0.0146288871765
